y_true,score
0,9.755620300655953e-08
0,0.002484206815262471
0,3.845799715806107e-09
0,3.032061211031475e-09
0,9.773584394463443e-07
0,2.02530654879872e-07
0,1.8309714021477832e-08
0,6.153774965012736e-08
0,3.995469679499427e-09
0,1.818299855815221e-07
0,7.7153058114072e-10
0,2.9899584571905027e-07
0,1.1604514653223432e-07
0,1.3828427556609025e-08
0,9.729867897258141e-07
0,1.89122232115135e-10
0,1.6373746212065544e-08
0,7.875480153224947e-10
0,8.676436742939702e-11
0,6.080289245283391e-10
0,8.339694415878237e-09
0,2.7829056512536846e-09
0,3.2536875334213584e-08
0,9.45020170079572e-10
0,1.748004896360347e-09
0,1.4793061961353435e-09
0,2.399833517804076e-08
0,3.594012559038906e-08
0,2.587208193973544e-08
0,8.054681469071276e-07
0,2.1892376442550792e-10
0,9.772256441897503e-08
0,8.888505795008315e-09
0,4.886589455841142e-07
0,6.297946149587805e-10
0,2.986062750286979e-07
0,3.1718250262553817e-09
0,1.8399230651366125e-08
0,5.881738035483553e-08
0,2.6138660226871995e-08
0,6.340186866822592e-11
0,3.486656128728092e-09
0,2.3247246686309797e-07
0,2.314991799706182e-06
0,1.4703452826594854e-08
0,1.0283865360180285e-09
0,5.001907183532265e-09
0,7.154613831043719e-08
0,7.194618790375226e-09
0,3.9372104882762885e-08
0,1.1610408632735316e-09
0,5.145489928290225e-07
0,1.5909286618310049e-09
0,4.956286753609708e-10
0,3.4398880875061496e-08
0,2.673258527092617e-08
0,5.77696129812594e-10
0,1.2688875038038886e-10
0,5.084360581491277e-10
0,9.69758950814775e-10
0,2.3081781193335648e-08
0,3.7448277743947783e-10
0,1.4464125462755012e-08
0,1.6190107612959995e-05
0,1.364580094625127e-09
0,1.2205548169982272e-09
0,1.0817124278181093e-08
0,9.213484408519462e-09
0,1.253508289182619e-09
0,3.893293309480887e-11
0,5.50781618083807e-09
0,1.5105149352321705e-11
0,2.6990830861993556e-10
0,4.932590701024839e-08
0,4.687286037095862e-09
0,2.394809973229263e-08
0,7.71738094078907e-08
0,1.5961543418181575e-09
0,1.2084383893919466e-08
0,5.2062330994796615e-09
0,2.802346785338986e-08
0,3.469961311780178e-10
0,8.276279101068844e-09
0,2.2282376638424062e-09
0,2.047126107181665e-09
0,1.599417993328887e-10
0,1.1179576881293181e-07
0,3.969697342672896e-09
0,4.569418022899306e-08
0,1.9265130993289302e-09
0,3.288292963054733e-08
0,4.7313441385120074e-07
0,6.46097065325744e-07
0,5.5632035503814846e-08
0,4.529369005692522e-08
0,3.3242127847882043e-12
0,1.8342072468401547e-09
0,1.956620626055169e-09
0,2.598533452865448e-09
0,2.735169930130844e-12
0,1.6435004140740422e-06
0,2.152366536897051e-05
0,2.116696797059533e-09
0,6.688206178185937e-11
0,1.065098510217663e-08
0,1.4891514126842558e-10
0,3.5725250082235045e-09
0,4.0696462642577416e-08
0,5.072696051385736e-09
0,1.1059471346711847e-07
0,2.877482217129907e-07
0,2.3640484010715652e-08
0,5.748448995411621e-09
0,2.1463825378450205e-08
0,4.919253942436956e-09
0,3.2433196359239453e-10
0,7.991945258068636e-08
0,2.820067648671884e-06
0,6.960066154161766e-08
0,6.436242578483793e-10
0,2.0806964848255154e-10
